Script started on 2026-07-21 23:52:13-06:00 [COMMAND="jaguar-tools/bin/jcp -c build/calib_skunk.cof" <not executed on terminal>]
jcp v02.04.02 built on Jul  6 2026

COFF File:  Skip 168 bytes, base addr is $4000, length is 31712 bytes
Sending...|/-\|/- 
\|/Jag accepted start request at $00004000.
 
Finished in 4126 millis, 7KB/second.
 
Starting console...
Cobweb jsim calibration suite v1
CAL vcmod    A s=0000020B e=0000020B w=00000000 r=00080000
CAL null     A s=000000CD e=00000202 w=00000000 r=00002000
CAL nop      A s=00000195 e=00000012 w=00000002 r=00000400
CAL move     A s=000001CF e=0000004B w=00000002 r=00000400
CAL moveq    A s=00000208 e=00000085 w=00000002 r=00000400
CAL adddep   A s=00000035 e=0000011D w=00000002 r=00000400
CAL addind   A s=0000006D e=000000F6 w=00000001 r=00000400
CAL ldsram   A s=000000A6 e=0000007F w=00000001 r=00000200
CAL ldidx    A s=000000DF e=0000007E w=00000002 r=00000200
CAL lddram   A s=00000118 e=00000045 w=00000003 r=00000200
CAL lddramc  A s=00000143 e=00000136 w=00000002 r=00000100
CAL ldstride A s=0000016F e=00000033 w=00000001 r=00000100
CAL stdram   A s=000001C2 e=00000038 w=00000002 r=00000200
CAL blitsm   A s=000001CA e=000001E8 w=00000000 r=00000080
CAL blitbg   A s=00000204 e=000001BB w=00000001 r=00000080
CAL blit1    A s=00000030 e=00000042 w=00000000 r=00000080
CAL blit2    A s=00000069 e=0000007D w=00000000 r=00000080
CAL blit4    A s=000000A2 e=000000B9 w=00000000 r=00000080
CAL blittex1 A s=000000DC e=00000095 w=00000001 r=00000080
CAL blittexq A s=00000115 e=000000CF w=00000001 r=00000080
CAL blitrmw  A s=0000014D e=0000001A w=00000001 r=00000080
CAL ldunderb A s=000001BB e=00000177 w=00000007 r=00000080
CAL dens2    A s=000001D2 e=000000E5 w=00000001 r=00000100
CAL dens6    A s=0000001C e=0000013A w=00000000 r=00000100
CAL dens14   A s=0000008A e=000001AF w=00000000 r=00000080
CAL dens30   A s=000000C3 e=000001F4 w=00000000 r=00000080
CAL bcmdidle A s=000000AA e=000000FD w=00000000 r=00000080
CAL bcmdbusy A s=000000E8 e=0000003A w=00000007 r=00000080
CAL m68kbus  A s=00000000 e=00001E33 w=00000000 r=0000001E
CAL m68kreg  A s=00000000 e=000040A9 w=00000000 r=0000001E
CAL m68kcpy  A s=00000000 e=000008C5 w=00000000 r=0000001E
CAL divhot   A s=000001BF e=000000C3 w=00000002 r=00000200
CAL divsh    A s=0000001D e=000001C7 w=00000000 r=00000200
CAL jr       A s=00000011 e=00000041 w=00000002 r=00000100
CAL mainmov  A s=00000087 e=00000086 w=00000002 r=00000080
CAL mainnop  A s=000000BF e=000000BF w=00000002 r=00000080
CAL null     B s=000000BB e=000001E2 w=00000000 r=00002000
CAL nop      B s=0000012A e=000001AF w=00000001 r=00000400
CAL move     B s=00000162 e=000001E8 w=00000001 r=00000400
CAL moveq    B s=0000019B e=00000015 w=00000002 r=00000400
CAL adddep   B s=000001D5 e=000000AF w=00000003 r=00000400
CAL addind   B s=00000002 e=00000087 w=00000001 r=00000400
CAL ldsram   B s=0000003A e=00000012 w=00000001 r=00000200
CAL ldidx    B s=00000073 e=00000010 w=00000002 r=00000200
CAL lddram   B s=000000AC e=0000012E w=00000001 r=00000200
CAL lddramc  B s=000000D7 e=00000199 w=00000001 r=00000100
CAL ldstride B s=00000102 e=000001D2 w=00000000 r=00000100
CAL stdram   B s=00000156 e=000001D5 w=00000001 r=00000200
CAL blitsm   B s=0000015E e=0000017A w=00000000 r=00000080
CAL blitbg   B s=00000197 e=0000014D w=00000001 r=00000080
CAL blit1    B s=000001D0 e=000001E2 w=00000000 r=00000080
CAL blit2    B s=00000209 e=00000010 w=00000001 r=00000080
CAL blit4    B s=00000035 e=0000004B w=00000000 r=00000080
CAL blittex1 B s=00000070 e=00000029 w=00000001 r=00000080
CAL blittexq B s=000000A9 e=00000061 w=00000001 r=00000080
CAL blitrmw  B s=000000E1 e=000001B8 w=00000000 r=00000080
CAL ldunderb B s=00000150 e=0000010A w=00000007 r=00000080
CAL dens2    B s=00000167 e=00000003 w=00000001 r=00000100
CAL dens6    B s=000001BA e=000000CB w=00000001 r=00000100
CAL dens14   B s=0000001F e=00000148 w=00000000 r=00000080
CAL dens30   B s=00000057 e=00000188 w=00000000 r=00000080
CAL bcmdidle B s=0000003E e=00000090 w=00000000 r=00000080
CAL bcmdbusy B s=0000007C e=000001D9 w=00000006 r=00000080
CAL lddramop B s=000000CC e=00000197 w=00000001 r=00000200

Script done on 2026-07-21 23:58:15-06:00 [COMMAND_EXIT_CODE="143"]
