Script started on 2026-07-22 00:22:30-06:00 [COMMAND="/home/jvilla/jaguar-tools/bin/jcp -c build/calib_skunk.cof" <not executed on terminal>]
jcp v02.04.02 built on Jul  6 2026

COFF File:  Skip 168 bytes, base addr is $4000, length is 32768 bytes
Sending...|/-\|/-\. 
|/Jag accepted start request at $00004000.
 
Finished in 4638 millis, 7KB/second.
 
Starting console...
Cobweb jsim calibration suite v1
CAL vcmod    A s=0000020B e=0000020B w=00000000 r=00080000
CAL null     A s=000001F3 e=0000011D w=00000001 r=00002000
CAL nop      A s=000000B0 e=00000139 w=00000001 r=00000400
CAL move     A s=000000E9 e=00000172 w=00000001 r=00000400
CAL moveq    A s=00000122 e=000001AB w=00000001 r=00000400
CAL adddep   A s=0000015B e=00000037 w=00000003 r=00000400
CAL addind   A s=00000194 e=00000011 w=00000002 r=00000400
CAL ldsram   A s=0000005C e=00000035 w=00000001 r=00000200
CAL ldidx    A s=00000095 e=00000034 w=00000002 r=00000200
CAL lddram   A s=000000CE e=000001F7 w=00000002 r=00000200
CAL lddramc  A s=000000F9 e=000000EC w=00000002 r=00000100
CAL ldstride A s=00000125 e=000001F5 w=00000000 r=00000100
CAL stdram   A s=00000179 e=000001FA w=00000001 r=00000200
CAL blitsm   A s=00000180 e=0000019E w=00000000 r=00000080
CAL blitbg   A s=000001B9 e=00000170 w=00000001 r=00000080
CAL blit1    A s=000001F2 e=00000204 w=00000000 r=00000080
CAL blit2    A s=0000001F e=00000032 w=00000000 r=00000080
CAL blit4    A s=00000058 e=0000006F w=00000000 r=00000080
CAL blittex1 A s=00000093 e=0000004C w=00000001 r=00000080
CAL blittexq A s=000000CB e=00000085 w=00000001 r=00000080
CAL blitrmw  A s=00000103 e=000001DC w=00000000 r=00000080
CAL ldunderb A s=00000171 e=0000012D w=00000007 r=00000080
CAL dens2    A s=00000189 e=0000009C w=00000001 r=00000100
CAL dens6    A s=000001DD e=000000F0 w=00000001 r=00000100
CAL dens14   A s=00000041 e=00000166 w=00000000 r=00000080
CAL dens30   A s=0000007A e=000001AA w=00000000 r=00000080
CAL ldcunder A s=00000075 e=0000019A w=00000000 r=00000080
CAL bcmdidle A s=00000099 e=000000EC w=00000000 r=00000080
CAL bcmdbusy A s=000000D8 e=0000002A w=00000007 r=00000080
CAL m68kbus  A s=00000000 e=00001E3B w=00000000 r=0000001E
CAL m68kreg  A s=00000000 e=00004165 w=00000000 r=0000001E
CAL m68kcpy  A s=00000000 e=000008CB w=00000000 r=0000001E
CAL divhot   A s=000001AE e=000000B2 w=00000002 r=00000200
CAL divsh    A s=0000000C e=000001B7 w=00000000 r=00000200
CAL jr       A s=00000000 e=00000031 w=00000002 r=00000100
CAL mainmov  A s=00000077 e=00000076 w=00000002 r=00000080
CAL mainnop  A s=000000AF e=000000AE w=00000002 r=00000080
CAL null     B s=000000A9 e=000001D0 w=00000000 r=00002000
CAL nop      B s=00000119 e=0000019F w=00000001 r=00000400
CAL move     B s=00000152 e=000001D8 w=00000001 r=00000400
CAL moveq    B s=0000018A e=00000004 w=00000002 r=00000400
CAL adddep   B s=000001C4 e=0000009F w=00000003 r=00000400
CAL addind   B s=000001FD e=00000076 w=00000002 r=00000400
CAL ldsram   B s=00000029 e=00000001 w=00000001 r=00000200
CAL ldidx    B s=00000062 e=0000020B w=00000001 r=00000200
CAL lddram   B s=0000009B e=0000011D w=00000001 r=00000200
CAL lddramc  B s=000000C6 e=00000188 w=00000001 r=00000100
CAL ldstride B s=000000F2 e=000001C1 w=00000000 r=00000100
CAL stdram   B s=00000146 e=000001C5 w=00000001 r=00000200
CAL blitsm   B s=0000014E e=0000016B w=00000000 r=00000080
CAL blitbg   B s=00000186 e=0000013C w=00000001 r=00000080
CAL blit1    B s=000001BF e=000001D1 w=00000000 r=00000080
CAL blit2    B s=000001F8 e=00000000 w=00000001 r=00000080
CAL blit4    B s=00000025 e=0000003B w=00000000 r=00000080
CAL blittex1 B s=0000005F e=00000018 w=00000001 r=00000080
CAL blittexq B s=00000099 e=00000051 w=00000001 r=00000080
CAL blitrmw  B s=000000D0 e=000001A7 w=00000000 r=00000080
CAL ldunderb B s=0000013F e=000000F9 w=00000007 r=00000080
CAL dens2    B s=00000156 e=000001FE w=00000000 r=00000100
CAL dens6    B s=000001AA e=000000BB w=00000001 r=00000100
CAL dens14   B s=0000000E e=00000138 w=00000000 r=00000080
CAL dens30   B s=00000047 e=00000178 w=00000000 r=00000080
CAL ldcunder B s=00000041 e=00000166 w=00000000 r=00000080
CAL bcmdidle B s=00000067 e=000000B9 w=00000000 r=00000080
CAL bcmdbusy B s=000000A5 e=00000201 w=00000006 r=00000080
CAL lddramop B s=000000F4 e=000001C0 w=00000001 r=00000200
CAL m68kbus  B s=00000000 e=00001E13 w=00000000 r=0000001E
CAL m68kreg  B s=00000000 e=000040EB w=00000000 r=0000001E
CAL m68kcpy  B s=00000000 e=000008B8 w=00000000 r=0000001E
CAL divhot   B s=000001B5 e=000000B7 w=00000002 r=00000200
CAL divsh    B s=00000011 e=000001BC w=00000000 r=00000200
CAL jr       B s=00000006 e=00000035 w=00000002 r=00000100
CAL mainmov  B s=0000007C e=00000058 w=00000001 r=00000080
CAL mainnop  B s=000000B4 e=00000091 w=00000001 r=00000080
CAL DSPMARK val=00000000
