Script started on 2026-07-22 00:39:53-06:00 [COMMAND="/home/jvilla/jaguar-tools/bin/jcp -c build/calib_skunk.cof" <not executed on terminal>]
jcp v02.04.02 built on Jul  6 2026

COFF File:  Skip 168 bytes, base addr is $4000, length is 36256 bytes
Sending...|/-\|/-\. 
|/-Jag accepted start request at $00004000.
 
Finished in 4641 millis, 7KB/second.
 
Starting console...
Cobweb jsim calibration suite v1
CAL vcmod    A s=0000020B e=0000020B w=00000000 r=00080000
CAL null     A s=00000124 e=0000004D w=00000001 r=00002000
CAL nop      A s=000001EE e=0000006A w=00000002 r=00000400
CAL move     A s=0000001B e=000000A4 w=00000001 r=00000400
CAL moveq    A s=00000054 e=000000DC w=00000001 r=00000400
CAL adddep   A s=0000008D e=00000175 w=00000002 r=00000400
CAL addind   A s=000000C5 e=0000014E w=00000001 r=00000400
CAL ldsram   A s=000000FF e=000000D8 w=00000001 r=00000200
CAL ldidx    A s=00000137 e=000000D6 w=00000002 r=00000200
CAL lddram   A s=00000170 e=00000093 w=00000003 r=00000200
CAL lddramc  A s=0000019A e=0000018D w=00000002 r=00000100
CAL ldstride A s=000001C6 e=0000008B w=00000001 r=00000100
CAL stdram   A s=0000000E e=00000090 w=00000001 r=00000200
CAL blitsm   A s=00000016 e=00000034 w=00000000 r=00000080
CAL blitbg   A s=0000004F e=00000006 w=00000001 r=00000080
CAL blit1    A s=00000088 e=0000009A w=00000000 r=00000080
CAL blit2    A s=000000C0 e=000000D4 w=00000000 r=00000080
CAL blit4    A s=000000F9 e=00000111 w=00000000 r=00000080
CAL blittex1 A s=00000134 e=000000EE w=00000001 r=00000080
CAL blittexq A s=0000016D e=00000126 w=00000001 r=00000080
CAL blitrmw  A s=00000117 e=000001EF w=00000000 r=00000080
CAL ldunderb A s=00000184 e=00000140 w=00000007 r=00000080
CAL dens2    A s=0000019C e=000000AF w=00000001 r=00000100
CAL dens6    A s=000001F1 e=00000103 w=00000001 r=00000100
CAL dens14   A s=00000054 e=00000179 w=00000000 r=00000080
CAL dens30   A s=0000008C e=000001BC w=00000000 r=00000080
CAL ldcunder A s=00000087 e=000001AC w=00000000 r=00000080
CAL fib      A s=000000ED e=000001D9 w=00000000 r=00000080
CAL divext   A s=00000116 e=00000124 w=00000001 r=00000080
CAL bcmdidle A s=0000011E e=00000171 w=00000000 r=00000080
CAL bcmdbusy A s=0000015C e=000000AE w=00000007 r=00000080
CAL m68kbus  A s=00000000 e=00001E29 w=00000000 r=0000001E
CAL m68kreg  A s=00000000 e=000040D5 w=00000000 r=0000001E
CAL m68kcpy  A s=00000000 e=000008B7 w=00000000 r=0000001E
CAL divhot   A s=00000028 e=00000138 w=00000001 r=00000200
CAL divsh    A s=0000008F e=0000002E w=00000001 r=00000200
CAL jr       A s=00000084 e=000000B5 w=00000002 r=00000100
CAL mainmov  A s=000000FB e=000000FA w=00000002 r=00000080
CAL mainnop  A s=00000134 e=00000133 w=00000002 r=00000080
CAL null     B s=0000012E e=00000049 w=00000001 r=00002000
CAL nop      B s=0000019D e=00000017 w=00000002 r=00000400
CAL move     B s=000001D7 e=00000051 w=00000002 r=00000400
CAL moveq    B s=00000003 e=00000089 w=00000001 r=00000400
CAL adddep   B s=0000003C e=00000123 w=00000002 r=00000400
CAL addind   B s=00000075 e=000000FA w=00000001 r=00000400
CAL ldsram   B s=000000AE e=00000086 w=00000001 r=00000200
CAL ldidx    B s=000000E7 e=00000085 w=00000002 r=00000200
CAL lddram   B s=0000011F e=000001A2 w=00000001 r=00000200
CAL lddramc  B s=0000014B e=00000002 w=00000002 r=00000100
CAL ldstride B s=00000176 e=0000003A w=00000001 r=00000100
CAL stdram   B s=000001CA e=0000003D w=00000002 r=00000200
CAL blitsm   B s=000001D2 e=000001EF w=00000000 r=00000080
CAL blitbg   B s=0000020B e=000001C1 w=00000001 r=00000080
CAL blit1    B s=00000038 e=0000004A w=00000000 r=00000080
CAL blit2    B s=00000070 e=00000083 w=00000000 r=00000080
CAL blit4    B s=000000A9 e=000000BF w=00000000 r=00000080
CAL blittex1 B s=000000E5 e=0000009D w=00000001 r=00000080
CAL blittexq B s=0000011D e=000000D6 w=00000001 r=00000080
CAL blitrmw  B s=00000155 e=00000020 w=00000001 r=00000080
CAL ldunderb B s=000001C4 e=0000017E w=00000007 r=00000080
CAL dens2    B s=000001DA e=00000076 w=00000001 r=00000100
CAL dens6    B s=00000023 e=0000013F w=00000000 r=00000100
CAL dens14   B s=00000093 e=000001BC w=00000000 r=00000080
CAL dens30   B s=000000CC e=000001FD w=00000000 r=00000080
CAL ldcunder B s=000000C6 e=000001EB w=00000000 r=00000080
CAL fib      B s=0000012C e=0000000A w=00000001 r=00000080
CAL divext   B s=00000155 e=000000EC w=00000001 r=00000080
CAL bcmdidle B s=0000015D e=000001AF w=00000000 r=00000080
CAL bcmdbusy B s=0000019C e=000000EC w=00000007 r=00000080
