Script started on 2026-07-23 07:40:50-06:00 [COMMAND="jaguar-tools/bin/jcp -c build/calib_skunk.cof" <not executed on terminal>]
jcp v02.04.02 built on Jul  6 2026

COFF File:  Skip 168 bytes, base addr is $4000, length is 38592 bytes
Sending...|/-\|/-\.| 
/-Jag accepted start request at $00004000.
 
Finished in 5153 millis, 7KB/second.
 
Starting console...
Cobweb jsim calibration suite v1
CAL vcmod    A s=0000020B e=0000020B w=00000000 r=00080000
CAL null     A s=000000CE e=00000204 w=00000000 r=00002000
CAL nop      A s=00000199 e=00000016 w=00000002 r=00000400
CAL move     A s=000001D1 e=0000004E w=00000002 r=00000400
CAL moveq    A s=0000020B e=00000088 w=00000002 r=00000400
CAL adddep   A s=00000038 e=00000120 w=00000002 r=00000400
CAL addind   A s=00000071 e=000000FA w=00000001 r=00000400
CAL ldsram   A s=000000AA e=00000083 w=00000001 r=00000200
CAL ldidx    A s=000000E2 e=00000081 w=00000002 r=00000200
CAL lddram   A s=0000011C e=0000002B w=00000003 r=00000200
CAL lddramc  A s=00000146 e=00000139 w=00000002 r=00000100
CAL ldstride A s=00000171 e=00000036 w=00000001 r=00000100
CAL stdram   A s=000001C6 e=0000003C w=00000002 r=00000200
CAL blitsm   A s=000001CD e=000001EC w=00000000 r=00000080
CAL blitbg   A s=00000207 e=000001BE w=00000001 r=00000080
CAL blit1    A s=00000034 e=00000046 w=00000000 r=00000080
CAL blit2    A s=0000006C e=00000080 w=00000000 r=00000080
CAL blit4    A s=000000A5 e=000000BC w=00000000 r=00000080
CAL blittex1 A s=000000E0 e=0000009A w=00000001 r=00000080
CAL blittexq A s=00000119 e=000000D3 w=00000001 r=00000080
CAL blitrmw  A s=00000151 e=0000001E w=00000001 r=00000080
CAL ldunderb A s=000001C0 e=0000017B w=00000007 r=00000080
CAL dens2    A s=000001D7 e=000000E9 w=00000001 r=00000100
CAL dens6    A s=00000020 e=0000013E w=00000000 r=00000100
CAL dens14   A s=0000008F e=000001B4 w=00000000 r=00000080
CAL dens30   A s=000000C7 e=000001F8 w=00000000 r=00000080
CAL ldcunder A s=000000C3 e=000001E8 w=00000000 r=00000080
CAL fib      A s=00000128 e=00000007 w=00000001 r=00000080
CAL divext   A s=00000151 e=0000015F w=00000001 r=00000080
CAL divoff   A s=0000018A e=0000019A w=00000001 r=00000080
CAL bcmdidle A s=00000192 e=000001E5 w=00000000 r=00000080
CAL bcmdbusy A s=000001D1 e=00000123 w=00000007 r=00000080
CAL m68kbus  A s=00000000 e=00001DEE w=00000000 r=0000001E
CAL m68kreg  A s=00000000 e=0000428F w=00000000 r=0000001E
CAL m68kcpy  A s=00000000 e=000008F3 w=00000000 r=0000001E
CAL divhot   A s=0000009C e=000001AB w=00000001 r=00000200
CAL divsh    A s=00000104 e=000000A3 w=00000001 r=00000200
CAL jr       A s=000000F9 e=00000129 w=00000002 r=00000100
CAL mainmov  A s=00000170 e=0000016F w=00000002 r=00000080
CAL mainnop  A s=000001A9 e=000001A8 w=00000002 r=00000080
CAL null     B s=000001A3 e=000000BE w=00000001 r=00002000
CAL nop      B s=00000007 e=0000008D w=00000001 r=00000400
CAL move     B s=00000040 e=000000C6 w=00000001 r=00000400
CAL moveq    B s=00000079 e=000000FF w=00000001 r=00000400
CAL adddep   B s=000000B1 e=00000198 w=00000002 r=00000400
CAL addind   B s=000000EA e=00000170 w=00000001 r=00000400
CAL ldsram   B s=00000123 e=000000FB w=00000001 r=00000200
CAL ldidx    B s=0000015C e=000000F9 w=00000002 r=00000200
CAL lddram   B s=00000195 e=0000000C w=00000002 r=00000200
CAL lddramc  B s=000001C0 e=00000077 w=00000002 r=00000100
CAL ldstride B s=000001EC e=000000B0 w=00000001 r=00000100
CAL stdram   B s=00000034 e=000000B2 w=00000001 r=00000200
CAL blitsm   B s=000000C5 e=000000E1 w=00000000 r=00000080
CAL blitbg   B s=000000FE e=000000B4 w=00000001 r=00000080
CAL blit1    B s=00000137 e=00000149 w=00000000 r=00000080
CAL blit2    B s=00000170 e=00000183 w=00000000 r=00000080
CAL blit4    B s=000001A9 e=000001BF w=00000000 r=00000080
CAL blittex1 B s=000001E4 e=0000019D w=00000001 r=00000080
CAL blittexq B s=00000011 e=000001D5 w=00000000 r=00000080
CAL blitrmw  B s=00000049 e=00000120 w=00000000 r=00000080
CAL ldunderb B s=000000B7 e=00000072 w=00000007 r=00000080
CAL dens2    B s=000000CE e=00000176 w=00000000 r=00000100
CAL dens6    B s=00000122 e=00000033 w=00000001 r=00000100
CAL dens14   B s=00000193 e=000000B0 w=00000001 r=00000080
CAL dens30   B s=000001CB e=000000F0 w=00000001 r=00000080
CAL ldcunder B s=000001C6 e=000000DE w=00000001 r=00000080
CAL fib      B s=00000020 e=0000010A w=00000000 r=00000080
CAL divext   B s=00000049 e=000001EC w=00000000 r=00000080
CAL divoff   B s=00000081 e=0000001B w=00000001 r=00000080
CAL bcmdidle B s=0000008A e=000000DC w=00000000 r=00000080
CAL bcmdbusy B s=000000C8 e=00000019 w=00000007 r=00000080
CAL lddramop B s=00000118 e=000001E3 w=00000001 r=00000200
