Script started on 2026-07-23 23:30:21-06:00 [COMMAND="/home/jvilla/jaguar-tools/bin/jcp -c build/calibdl_skunk.cof" <not executed on terminal>]
jcp v02.04.02 built on Jul  6 2026

COFF File:  Skip 168 bytes, base addr is $4000, length is 44896 bytes
Sending...|/-\|/-\.|/- 
\|Jag accepted start request at $00004000.
 
Finished in 6183 millis, 7KB/second.
 
Starting console...
Cobweb jsim calibration suite v1
CAL DIVLAT k=00000000 sm=00000055 lg=2AAAAAA5
CAL DIVLAT k=00000001 sm=00000055 lg=2AAAAAA5
CAL DIVLAT k=00000002 sm=00000055 lg=2AAAAAA5
CAL DIVLAT k=00000003 sm=00000055 lg=2AAAAAA5
CAL DIVLAT k=00000004 sm=00000055 lg=2AAAAAA5
CAL DIVLAT k=00000005 sm=00000055 lg=2AAAAAA5
CAL DIVLAT k=00000006 sm=00000055 lg=2AAAAAA5
CAL DIVLAT k=00000007 sm=00000055 lg=2AAAAAA5
CAL DIVLAT k=00000008 sm=00000055 lg=2AAAAAA5
CAL DIVLAT k=00000009 sm=00000055 lg=2AAAAAA5
CAL DIVLAT k=0000000A sm=00000055 lg=2AAAAAA5
CAL DIVLAT k=0000000B sm=00000055 lg=2AAAAAA5
CAL DIVLAT k=0000000C sm=00000055 lg=2AAAAAA5
CAL DIVLAT k=0000000D sm=00000055 lg=2AAAAAA5
CAL DIVLAT k=0000000E sm=00000055 lg=2AAAAAA5
CAL DIVLAT k=0000000F sm=00000055 lg=2AAAAAA5
CAL MMBIS nov v0=000000A0 v1=00000000
CAL MMBIS w1 v0=00000000 v1=00000000
CAL MMBIS w3 v0=00000000 v1=00000000
CAL MMBIS w3s v0=00000000 v1=00000000
CAL MMBIS mmhi v0=00000000 v1=00000000
CAL MMBIS mmlo v0=00000020 v1=00000000
CAL MMBIS mrd v0=00010000 v1=00000000
